f_WORD,f_LENG,f_FREQ,f_FLAG
АВИАПРОМЫШЛЕННОСТЬ,18,1,1
АВИАРЕЙС,8,1,1
АВИАСАЛОН,9,2,1
АВИАСТРОЕНИЕ,12,1,1
АВИАСТРОИТЕЛЬ,13,1,1
АВИАТЕХНИК,10,1,1
АВИАТОР,7,2,1
АВИАЦИЯ,7,39,1
АВИЕТКА,7,0,0
АВИОНИКА,8,1,1
АВИТАМИНОЗ,10,1,1
АВОКАДО,7,1,1
АВОСЬКА,7,5,1
АВРАЛ,5,1,1
АВСТРАЛИЕЦ,10,2,1
АВСТРИЕЦ,8,3,1
АВТО,4,6,1
АВТОБАЗА,8,1,1
АВТОБАН,7,1,1
АВТОБИОГРАФИЯ,13,4,1
АВТОБУС,7,65,1
АВТОВЛАДЕЛЕЦ,12,3,1
АВТОВОКЗАЛ,10,1,1
АВТОГЕН,7,1,1
АВТОГИГАНТ,10,1,1
АВТОГОНКИ,9,2,1
АВТОГОНЩИК,10,1,1
АВТОГРАФ,8,10,1
АВТОДОРОГА,10,3,1
АВТОДРОМ,8,4,1
АВТОЗАВОД,9,4,1
АВТОЗАВОДЕЦ,11,1,1
АВТОЗАПРАВКА,12,0,0
АВТОЗАПЧАСТИ,12,0,0
АВТОИНСПЕКТОР,13,1,0
АВТОИНСПЕКЦИЯ,13,1,1
АВТОКАТАСТРОФА,14,2,1
АВТОКЛАВ,8,1,0
АВТОКОЛОННА,11,1,1
АВТОКОМБИНАТ,12,0,0
АВТОКРАН,8,1,1
АВТОЛАВКА,9,1,0
АВТОЛЮБИТЕЛЬ,12,3,1
АВТОМАГИСТРАЛЬ,14,1,1
АВТОМАСТЕРСКАЯ,14,1,1
АВТОМАТ,7,56,1
АВТОМАТИЗАЦИЯ,13,9,1
АВТОМАТИЗМ,10,2,1
АВТОМАТИКА,10,5,1
АВТОМАТЧИК,10,5,1
АВТОМАШИНА,10,10,1
АВТОМЕХАНИК,11,1,1
АВТОМОБИЛЕСТРОЕНИЕ,18,2,1
АВТОМОБИЛЕСТРОИТЕЛЬ,19,1,1
АВТОМОБИЛИЗАЦИЯ,15,0,0
АВТОМОБИЛИСТ,12,4,1
АВТОМОБИЛЬ,10,157,1
АВТОМОБИЛЬЧИК,13,1,1
АВТОНОМИЯ,9,9,1
АВТОНОМНОСТЬ,12,1,1
АВТООТВЕТЧИК,12,3,1
АВТОПАРК,8,1,1
АВТОПИЛОТ,9,7,1
АВТОПОЕЗД,9,1,1
АВТОПОРТРЕТ,11,2,1
АВТОПРЕДПРИЯТИЕ,15,0,0
АВТОПРОИЗВОДИТЕЛЬ,17,2,1
АВТОПРОМ,8,2,1
АВТОР,5,262,1
АВТОРАДИО,9,0,0
АВТОРЕФЕРАТ,11,2,1
АВТОРИЗАЦИЯ,11,1,0
АВТОРИТАРИЗМ,12,1,1
АВТОРИТАРНОСТЬ,14,0,0
АВТОРИТЕТ,9,37,1
АВТОРИТЕТНОСТЬ,14,1,1
АВТОРСТВО,9,5,1
АВТОРУЧКА,9,4,1
АВТОРЫНОК,9,1,1
АВТОСАЛОН,9,4,1
АВТОСАМОСВАЛ,12,2,1
АВТОСЕРВИС,10,2,1
АВТОСЛЕСАРЬ,11,1,1
АВТОСПОРТ,9,3,1
АВТОСТАНЦИЯ,11,0,0
АВТОСТОП,8,1,1
АВТОСТОЯНКА,11,3,1
АВТОСТРАДА,10,3,1
АВТОСТРАХОВАНИЕ,15,0,0
АВТОТРАНСПОРТ,13,5,1
АВТОТРАССА,10,1,1
АВТОФУРГОН,10,1,1
АВТОХОЗЯЙСТВО,13,0,0
АВТОЦЕНТР,9,1,1
АВТОЦИСТЕРНА,12,0,0
АВТОШКОЛА,9,1,1
АГА,3,1,0
АГАР,4,0,0
АГАТ,4,1,1
АГЕНС,5,1,0
АГЕНТ,5,39,1
АГЕНТСТВО,9,49,1
АГЕНТУРА,8,3,1
АГИТАТОР,8,3,1
АГИТАЦИЯ,8,9,1
АГИТКА,6,1,1
АГИТПРОП,8,1,0
АГИТПУНКТ,9,0,0
АГЛОМЕРАТ,9,0,0
АГЛОМЕРАЦИЯ,11,1,0
АГНЕЦ,5,3,1
АГНОСТИК,8,1,1
АГОНИЯ,6,3,1
АГРАРИЙ,7,3,1
АГРЕГАТ,7,19,1
АГРЕГИРОВАНИЕ,13,1,0
АГРЕССИВНОСТЬ,13,4,1
АГРЕССИЯ,8,13,1
АГРЕССОР,8,4,1
АГРОНОМ,7,5,1
АГРОНОМИЯ,9,0,0
АГРОПРОМ,8,0,0
АГРОПРОМБАНК,12,1,0
АГРОТЕХНИКА,11,1,1
АГРОФИРМА,9,1,1
АГРОХОЛДИНГ,11,1,1
АГУША,5,0,0
АДАЖИО,6,0,0
АДАМАНТАН,9,1,0
АДАПТАЦИЯ,9,13,1
АДАПТЕР,7,1,1
АДАПТИВНОСТЬ,12,1,1
АДВЕНТИСТ,9,0,0
АДВОКАТ,7,49,1
АДВОКАТУРА,10,2,1
АДГЕЗИЯ,7,1,1
АДЕКВАТНОСТЬ,12,3,1
АДЕНОВИРУС,10,1,0
АДЕНОИД,7,0,0
АДЕНОМА,7,1,0
АДЕПТ,5,3,1
АДМИНИСТРАТОР,13,16,1
АДМИНИСТРАТОРША,15,1,1
АДМИНИСТРАЦИЯ,13,98,1
АДМИНИСТРИРОВАНИЕ,17,2,1
АДМИРАЛ,7,14,1
АДМИРАЛТЕЙСТВО,14,3,1
АДРЕНАЛИН,9,3,1
АДРЕС,5,93,1
АДРЕСАТ,7,7,1
АДРЕСОК,7,1,1
АДСОРБАТ,8,1,0
АДСОРБЦИЯ,9,2,1
АДЪЮВАНТ,8,1,0
АДЪЮТАНТ,8,7,1
АДЮЛЬТЕР,8,1,1
АЖИОТАЖ,7,4,1
АЖУР,4,1,1
АЗАЛИЯ,6,1,1
АЗАРТ,5,12,1
АЗБУКА,6,4,1
АЗЕРБАЙДЖАНЕЦ,13,6,1
АЗИАТ,5,2,1
АЗИМУТ,6,2,1
АЗОТ,4,8,1
АИР,3,1,1
АИСТ,4,3,1
АЙВА,4,1,1
АЙКИДО,6,1,1
АЙСБЕРГ,7,4,1
АКАДЕМГОРОДОК,13,2,1
АКАДЕМИЗМ,9,1,1
АКАДЕМИК,8,49,1
АКАДЕМИЯ,8,70,1
АКАФИСТ,7,1,1
АКАЦИЯ,6,4,1
АКВАЛАНГ,8,2,1
АКВАЛАНГИСТ,11,1,1
АКВАПАРК,8,1,1
АКВАРЕЛЬ,8,4,1
АКВАРИУМ,8,8,1
АКВАТОРИЯ,9,4,1
АКВЕДУК,7,0,0
АККЛИМАТИЗАЦИЯ,14,1,1
АККОМПАНЕМЕНТ,13,4,1
АККОМПАНИАТОР,13,1,1
АККОРД,6,7,1
АККОРДЕОН,9,4,1
АККОРДЕОНИСТ,12,1,1
АККРЕДИТАЦИЯ,12,2,1
АККРЕДИТИВ,10,4,1
АККУМУЛИРОВАНИЕ,15,0,0
АККУМУЛЯТОР,11,5,1
АККУМУЛЯЦИЯ,11,1,1
АККУРАТ,7,1,1
АККУРАТНОСТЬ,12,2,1
АКМЕИЗМ,7,1,0
АКМЕИСТ,7,1,1
АКОНИТ,6,1,0
АКР,3,1,1
АКРИЛ,5,1,1
АКРОБАТ,7,3,1
АКРОБАТИКА,10,1,1
АКРОПОЛЬ,8,1,1
АКРОСТИХ,8,0,0
АКСАКАЛ,7,1,1
АКСЕЛЕРАТОР,11,1,1
АКСЕЛЕРАЦИЯ,11,1,1
АКСЕЛЬ,6,1,1
АКСЕЛЬБАНТ,10,1,1
АКСЕССУАР,9,6,1
АКСИОМА,7,9,1
АКСОН,5,0,0
АКТ,3,114,1
АКТАНТ,6,2,1
АКТЕР,5,114,1
АКТЕРКА,7,1,0
АКТЕРСТВО,9,1,1
АКТИВ,5,33,1
АКТИВАТОР,9,1,0
АКТИВАЦИЯ,9,4,1
АКТИВИЗАЦИЯ,11,7,1
АКТИВИСТ,8,6,1
АКТИВИСТКА,10,1,1
АКТИВНОСТЬ,10,59,1
АКТИНИДИЯ,9,0,0
АКТОР,5,0,0
АКТРИСА,7,40,1
АКТУАЛИЗАЦИЯ,12,2,1
АКТУАЛЬНОСТЬ,12,8,1
АКУЛА,5,9,1
АКУСТИКА,8,2,1
АКУШЕР,6,1,1
АКУШЕРКА,8,2,1
АКУШЕРСТВО,10,1,1
АКЦЕНТ,6,26,1
АКЦЕНТИРОВАНИЕ,14,1,1
АКЦЕНТУАЦИЯ,11,1,0
АКЦЕПТ,6,1,0
АКЦЕПТОР,8,1,0
АКЦИЗ,5,5,1
АКЦИОНЕР,8,36,1
АКЦИОНИРОВАНИЕ,14,1,1
АКЦИЯ,5,99,1
АКЫН,4,1,1
АЛАН,4,3,1
АЛБАНЕЦ,7,2,1
АЛГЕБРА,7,4,1
АЛГОРИТМ,8,27,1
АЛЕБАРДА,8,1,1
АЛЕКСАНДРИТ,11,0,0
АЛЕУТ,5,0,1
АЛЖИРЕЦ,7,0,0
АЛИБИ,5,3,1
АЛИМЕНТЫ,8,6,1
АЛИЯ,4,1,0
АЛКАЛОИД,8,1,1
АЛКАШ,5,5,1
АЛКОГОЛИЗМ,10,6,1
АЛКОГОЛИК,9,10,1
АЛКОГОЛИЧКА,11,1,1
АЛКОГОЛЬ,8,20,1
АЛЛАХ,5,9,1
АЛЛЕГОРИЯ,9,2,1
АЛЛЕЙКА,7,1,1
АЛЛЕРГЕН,8,1,1
АЛЛЕРГИК,8,1,1
АЛЛЕРГИЯ,8,7,1
АЛЛЕЯ,5,16,1
АЛЛИГАТОР,9,1,1
АЛЛИТЕРАЦИЯ,11,1,1
АЛЛЮЗИЯ,7,2,1
АЛЛЮР,5,1,1
АЛМАЗ,5,17,1
АЛОЭ,4,1,1
АЛТАРЬ,6,9,1
АЛТЫН,5,1,1
АЛФАВИТ,7,6,1
АЛХИМИК,7,2,1
АЛХИМИЯ,7,1,1
АЛЧНОСТЬ,8,2,1
АЛЫЧА,5,1,1
АЛЬБАТРОС,9,1,0
АЛЬБИНОС,8,1,1
АЛЬБОМ,6,24,1
АЛЬБОМЧИК,9,1,1
АЛЬБУМИН,8,1,1
АЛЬВЕОЛА,8,1,0
АЛЬДЕГИД,8,2,0
АЛЬКОВ,6,0,0
АЛЬМАНАХ,8,5,1
АЛЬПИНАРИЙ,10,1,1
АЛЬПИНИЗМ,9,1,1
АЛЬПИНИСТ,9,4,1
АЛЬТ,4,5,1
АЛЬТЕРНАТИВА,12,14,1
АЛЬТЕРНАТИВЩИК,14,1,1
АЛЬТИСТ,7,1,0
АЛЬТРУИЗМ,9,1,1
АЛЬТРУИСТ,9,1,1
АЛЬФА,5,5,1
АЛЬЦГЕЙМЕР,10,1,0
АЛЬЯНС,6,10,1
АЛЮМИНИЙ,8,11,1
АЛЮМОСИЛИКАТ,12,0,0
АМАЛЬГАМА,9,1,1
АМБАЛ,5,2,1
АМБАР,5,5,1
АМБИВАЛЕНТНОСТЬ,15,1,0
АМБИЦИОЗНОСТЬ,13,1,1
АМБИЦИЯ,7,13,1
АМБРАЗУРА,9,2,1
АМБРОЗИЯ,8,1,1
АМБУЛАТОРИЯ,11,1,1
АМВОН,5,1,1
АМЕБА,5,1,1
АМЕРИКАНЕЦ,10,79,1
АМЕРИКАНИЗМ,11,1,0
АМЕРИКАНКА,10,4,1
АМЕТИСТ,7,1,0
АМИКСИН,7,1,0
АМИН,4,4,1
АМИНОКИСЛОТА,12,5,1
АММИАК,6,3,1
АММОНИЙ,7,2,1
АМНЕЗИЯ,7,1,1
АМНИСТИЯ,8,8,1
АМОК,4,1,0
АМОРАЛИЗМ,9,0,0
АМОРАЛКА,8,0,0
АМОРАЛЬНОСТЬ,12,1,1
АМОРТИЗАТОР,11,2,1
АМОРТИЗАЦИЯ,11,3,1
АМПЕР,5,2,1
АМПЕРМЕТР,9,0,0
АМПИР,5,2,1
АМПЛИТУДА,9,5,1
АМПЛИФИКАЦИЯ,12,2,1
АМПЛУА,6,4,1
АМПУЛА,6,4,1
АМПУТАЦИЯ,9,1,1
АМРИТА,6,1,0
АМУЛЕТ,6,4,1
АМУНИЦИЯ,8,2,1
АМУР,4,4,1
АМФИБИЯ,7,1,1
АМФИТЕАТР,9,2,1
АМФОРА,6,1,1
АНАБИОЗ,7,1,0
АНАГРАММА,9,1,0
АНАКОНДА,8,0,0
АНАЛИЗ,6,157,1
АНАЛИЗАТОР,10,3,1
АНАЛИТИК,8,18,1
АНАЛИТИКА,9,1,1
АНАЛОГ,6,16,1
АНАЛОГИЯ,8,15,1
АНАЛОЙ,6,1,1
АНАЛЬГИН,8,1,1
АНАМНЕЗ,7,1,1
АНАНАС,6,4,1
АНАРХИЗМ,8,1,1
АНАРХИСТ,8,3,1
АНАРХИЯ,7,3,1
АНАТОМ,6,1,0
АНАТОМИЧКА,10,0,0
АНАТОМИЯ,8,5,1
АНАФЕМА,7,2,1
АНАХРОНИЗМ,10,2,1
АНАША,5,1,1
АНГАЖЕМЕНТ,10,0,0
АНГАЖИРОВАННОСТЬ,16,1,1
АНГАР,5,4,1
АНГЕЛ,5,32,1
АНГЕЛОЧЕК,9,1,1
АНГИДРИТ,8,0,0
АНГИНА,6,3,1
АНГЛИЧАНИН,10,30,1
АНГЛИЧАНКА,10,3,1
АНГЛОСАКС,9,1,1
АНДЕГРАУНД,10,2,1
АНДЕРГРАУНД,11,0,0
АНЕКДОТ,7,35,1
АНЕМИЯ,6,1,1
АНЕСТЕЗИОЛОГ,12,1,1
АНЕСТЕЗИЯ,9,2,1
АНИЗОТРОПИЯ,11,1,0
АНИМАТОР,8,0,0
АНИМАЦИЯ,8,1,1
АНИОН,5,1,0
АНИС,4,1,1
АНКЕТА,6,14,1
АНКЕТИРОВАНИЕ,13,1,1
АНКЛАВ,6,1,1
АННАЛЫ,6,2,1
АННЕКСИЯ,8,1,1
АННИГИЛЯЦИЯ,11,1,0
АННОТАЦИЯ,9,2,1
АННУЛИРОВАНИЕ,13,1,1
АНОД,4,1,1
АНОМАЛИЯ,8,7,1
АНОМИЯ,6,1,0
АНОНИМ,6,1,1
АНОНИМКА,8,2,1
АНОНИМНОСТЬ,11,2,1
АНОНС,5,1,1
АНСАМБЛЬ,8,22,1
АНТАГОНИЗМ,10,2,1
АНТАГОНИСТ,10,1,1
АНТЕННА,7,9,1
АНТИАМЕРИКАНИЗМ,15,1,1
АНТИБИОТИК,10,5,1
АНТИВЕЩЕСТВО,12,1,0
АНТИГЕН,7,10,1
АНТИГЕННОСТЬ,12,0,0
АНТИГЕРОЙ,9,0,0
АНТИГЛОБАЛИСТ,13,1,1
АНТИДЕПРЕССАНТ,14,1,1
АНТИКВАР,8,2,1
АНТИКВАРИАТ,11,3,1
АНТИКОММУНИЗМ,13,1,1
АНТИКОММУНИСТ,13,1,1
АНТИКРЫЛО,9,2,1
АНТИЛОПА,8,1,1
АНТИМИР,7,1,1
АНТИНОМИЯ,9,1,1
АНТИОКСИДАНТ,12,1,1
АНТИПАТИЯ,9,3,1
АНТИПОД,7,2,1
АНТИСАНИТАРИЯ,13,0,0
АНТИСЕМИТ,9,5,1
АНТИСЕМИТИЗМ,12,9,1
АНТИСЕПТИК,10,1,1
АНТИСОВЕТЧИК,12,1,1
АНТИСОВЕТЧИНА,13,1,1
АНТИСТАЛИНИСТ,13,0,0
АНТИТЕЗА,8,1,1
АНТИТЕЛО,8,24,1
АНТИТЕРРОР,10,1,1
АНТИУТОПИЯ,10,1,1
АНТИФАШИСТ,10,1,1
АНТИФОН,7,1,0
АНТИФРИЗ,8,1,1
АНТИХРИСТ,9,3,1
АНТИЧАСТИЦА,11,1,0
АНТИЧНОСТЬ,10,5,1
АНТОЛОГИЯ,9,3,1
АНТОНОВКА,9,1,1
АНТРАКТ,7,5,1
АНТРАЦИТ,8,1,1
АНТРЕКОТ,8,1,1
АНТРЕПРЕНЕР,11,1,1
АНТРЕПРИЗА,10,2,1
АНТРЕСОЛИ,9,2,1
АНТРОПОЛОГ,10,1,1
АНТРОПОЛОГИЯ,12,3,1
АНТУРАЖ,7,2,1
АНУС,4,1,1
АНФИЛАДА,8,2,1
АНЧАР,5,0,1
АНЧОУС,6,1,1
АНШЛАГ,6,3,1
АОРТА,5,2,1
АПАРТАМЕНТЫ,11,6,1
АПАРТЕИД,8,1,1
АПАТИТ,6,2,1
АПАТИЯ,6,3,1
АПАЧ,4,1,1
АПЕЛЛЯЦИЯ,9,3,1
АПЕЛЬСИН,8,8,1
АПЕРИТИВ,8,1,1
АПЕРТУРА,8,1,0
АПЛОДИСМЕНТЫ,12,20,1
АПЛОМБ,6,1,1
АПОГЕЙ,6,2,1
АПОКАЛИПСИС,11,3,1
АПОКРИФ,7,1,1
АПОЛИТИЧНОСТЬ,13,1,1
АПОЛОГЕТ,8,2,1
АПОЛОГЕТИКА,11,1,1
АПОЛОГИЯ,8,1,1
АПОПТОЗ,7,1,0
АПОСТОЛ,7,22,1
АПОФЕОЗ,7,3,1
АППАРАТ,7,88,1
АППАРАТНАЯ,10,1,1
АППАРАТУРА,10,19,1
АППАРАТЧИК,10,2,1
АППЕНДИКС,9,1,1
АППЕНДИЦИТ,10,2,1
АППЕТИТ,7,15,1
АППЛИКАЦИЯ,10,1,1
АППРОКСИМАЦИЯ,13,1,1
АПРЕЛЬ,6,86,1
АПРОБАЦИЯ,9,2,1
АПСИДА,6,0,0
АПТЕКА,6,15,1
АПТЕКАРЬ,8,2,1
АПТЕЧКА,7,3,1
АРА,3,0,0
АРАБ,4,13,1
АРАБИДОПСИС,11,0,0
АРАК,4,0,0
АРАНЖИРОВКА,11,2,1
АРАП,4,1,1
АРАТ,4,0,0
АРАХИС,6,1,1
АРБА,4,1,1
АРБАЛЕТ,7,1,0
АРБИДОЛ,7,1,0
АРБИТР,6,5,1
АРБИТРАЖ,8,6,1
АРБОВИРУС,9,1,0
АРБУЗ,5,9,1
АРГЕНТИНЕЦ,10,2,1
АРГО,4,1,1
АРГОН,5,1,1
АРГОНАВТ,8,1,1
АРГУМЕНТ,8,29,1
АРГУМЕНТАЦИЯ,12,4,1
АРГУС,5,1,0
АРЕАЛ,5,4,1
АРЕНА,5,14,1
АРЕНДА,6,28,1
АРЕНДАТОР,9,8,1
АРЕНДОДАТЕЛЬ,12,2,1
АРЕОПАГ,7,1,1
АРЕСТ,5,47,1
АРЕСТАНТ,8,6,1
АРЕСТОВАННЫЙ,12,6,1
АРИЕЦ,5,1,1
АРИЙ,4,1,1
АРИСТОКРАТ,10,6,1
АРИСТОКРАТИЗМ,13,1,1
АРИСТОКРАТИЯ,12,3,1
АРИСТОКРАТКА,12,1,1
АРИТМИЯ,7,1,1
АРИФМЕТИКА,10,7,1
АРИФМОМЕТР,10,1,1
АРИЯ,4,7,1
АРКА,4,13,1
АРКАДА,6,1,1
АРКАДИЯ,7,1,1
АРКАН,5,3,1
АРЛЕКИН,7,1,1
АРЛЕКИНО,8,0,0
АРМАДА,6,1,1
АРМАНЬЯК,8,1,0
АРМАТУРА,8,5,1
АРМЕЕЦ,6,2,1
АРМИРОВАНИЕ,11,0,0
АРМИЯ,5,186,1
АРМЯК,5,1,1
АРМЯНИН,7,11,1
АРМЯНКА,7,1,1
АРОМАТ,6,23,1
АРОМАТЕРАПИЯ,12,1,1
АРОМАТИЗАТОР,12,2,1
АРСЕНАЛ,7,13,1
АРТ,3,2,1
АРТЕЛЬ,6,6,1
АРТЕЛЬЩИК,9,1,0
АРТЕРИЯ,7,9,1
АРТЕФАКТ,8,1,1
АРТИКУЛ,7,1,1
АРТИКУЛЯЦИЯ,11,1,1
АРТИЛЛЕРИСТ,11,6,1
АРТИЛЛЕРИЯ,10,14,1
АРТИСТ,6,98,1
АРТИСТИЗМ,9,2,1
АРТИСТИЧЕСКАЯ,13,1,1
АРТИСТИЧНОСТЬ,13,1,1
АРТИСТКА,8,12,1
АРТОБСТРЕЛ,10,1,1
АРТПОДГОТОВКА,13,1,1
АРТРИТ,6,1,1
АРФА,4,3,1
АРХАИЗМ,7,0,0
АРХАИКА,7,1,1
АРХАНГЕЛ,8,3,1
АРХЕОЛОГ,8,6,1
АРХЕОЛОГИЯ,10,3,1
АРХЕТИП,7,3,1
АРХИВ,5,35,1
АРХИВАРИУС,10,1,1
АРХИВИСТ,8,1,1
АРХИЕПИСКОП,11,11,1
АРХИЕРЕЙ,8,5,1
АРХИМАНДРИТ,11,6,1
АРХИПАСТЫРЬ,11,2,1
АРХИПЕЛАГ,9,6,1
АРХИСТРАТИГ,11,0,0
АРХИТЕКТОНИКА,13,1,1
АРХИТЕКТОР,10,33,1
АРХИТЕКТУРА,11,34,1
АРШИН,5,4,1
АРЫК,4,1,1
АРЬЕРГАРД,9,1,1
АСАНА,5,1,0
АСБЕСТ,6,1,0
АСИММЕТРИЯ,10,2,1
АСКЕЗА,6,1,1
АСКЕР,5,1,0
АСКЕТ,5,2,1
АСКЕТИЗМ,8,2,1
АСПЕКТ,6,36,1
АСПИД,5,1,0
АСПИРАНТ,8,8,1
АСПИРАНТКА,10,3,1
АСПИРАНТУРА,11,8,1
АСПИРИН,7,3,1
АСС,3,1,0
АССАМБЛЕЯ,9,5,1
АССАСИН,7,0,0
АССЕНИЗАТОР,11,0,0
АССИГНАЦИЯ,10,2,1
АССИГНОВАНИЕ,12,4,1
АССИМИЛЯЦИЯ,11,2,1
АССИРИЕЦ,8,0,0
АССИСТЕНТ,9,8,1
АССИСТЕНТКА,11,2,1
АССОРТИ,7,1,1
АССОРТИМЕНТ,11,15,1
АССОЦИАЦИЯ,10,45,1
АСТЕРОИД,8,2,1
АСТМА,5,3,1
АСТМАТИК,8,1,1
АСТРА,5,4,1
АСТРАЛ,6,1,1
АСТРОВИРУС,10,0,0
АСТРОЛОГ,8,3,1
АСТРОЛОГИЯ,10,1,1
АСТРОНАВТ,9,2,1
АСТРОНОМ,8,6,1
АСТРОНОМИЯ,10,6,1
АСТРОФИЗИК,10,1,1
АСТРОФИЗИКА,11,2,1
АСФАЛЬТ,7,29,1
АСЬКА,5,2,1
АТАВИЗМ,7,1,1
АТАКА,5,43,1
АТАМАН,6,6,1
АТЕИЗМ,6,3,1
АТЕИСТ,6,5,1
АТЕЛЬЕ,6,4,1
АТЕРОСКЛЕРОЗ,12,1,1
АТЛАНТ,6,2,1
АТЛАС,5,6,1
АТЛЕТ,5,3,1
АТЛЕТИКА,8,2,1
АТМОСФЕРА,9,56,1
АТОЛЛ,5,1,1
АТОМ,4,21,1
АТОМОХОД,8,1,0
АТОМЩИК,7,1,1
АТРИБУТ,7,11,1
АТРИБУТИКА,10,2,1
АТРИБУЦИЯ,9,1,1
АТРИУМ,6,0,0
АТРОФИЯ,7,1,1
АТТАШЕ,6,3,1
АТТЕНУАЦИЯ,10,1,0
АТТЕСТАТ,8,5,1
АТТЕСТАЦИЯ,10,4,1
АТТИТЮД,7,3,0
АТТРАКТОР,9,1,0
АТТРАКЦИОН,10,7,1
АУДИЕНЦИЯ,9,2,1
АУДИОЗАПИСЬ,11,1,1
АУДИОКАССЕТА,12,1,1
АУДИОСИСТЕМА,12,1,1
АУДИТ,5,4,1
АУДИТОР,7,5,1
АУДИТОРИЯ,9,32,1
АУКСИН,6,1,0
АУКЦИОН,7,17,1
АУЛ,3,2,1
АУРА,4,5,1
АУТ,3,1,1
АУТОДАФЕ,8,0,0
АУТОТРЕНИНГ,11,1,0
АУТСАЙДЕР,9,2,1
АУТСОРСИНГ,10,1,1
АФГАНЕЦ,7,3,1
АФЕРА,5,4,1
АФЕРИСТ,7,2,1
АФЕРИСТКА,9,0,0
АФИША,5,11,1
АФИШКА,6,1,1
АФОРИЗМ,7,5,1
АФРИКАНЕЦ,9,3,1
АФРОАМЕРИКАНЕЦ,14,1,0
АФФЕКТ,6,2,1
АФФЕКТАЦИЯ,10,1,1
АХИЛЛ,5,1,1
АХИНЕЯ,6,2,1
АЦЕТАТ,6,2,1
АЦЕТОН,6,2,1
АЦИКЛОВИР,9,1,0
АЦТЕК,5,1,1
АШРАМ,5,1,0
АЭРАЦИЯ,7,0,0
АЭРОБИКА,8,2,1
АЭРОБУС,7,1,1
АЭРОВОКЗАЛ,10,2,1
АЭРОДИНАМИКА,12,2,1
АЭРОДРОМ,8,20,1
АЭРОЗОЛЬ,8,2,1
АЭРОКЛУБ,8,1,0
АЭРОПЛАН,8,2,1
АЭРОПОРТ,8,37,1
АЭРОСТАТ,8,2,1
АЭРОФОТОСНИМОК,14,0,0
АЭРОФОТОСЪЕМКА,14,1,1
АЯТ,3,1,0
АЯТОЛЛА,7,1,1
БАБА,4,81,1
БАБАЙ,5,1,0
БАБЕНКА,7,2,1
БАБЕТТА,7,0,0
БАБИЩА,6,1,1
БАБКА,5,42,1
БАБНИК,6,3,1
БАБОНЬКА,8,1,1
БАБОЧКА,7,21,1
БАБУЛЬКА,8,1,1
БАБУЛЯ,6,5,1
БАБУСЯ,6,4,1
БАБУШКА,7,102,1
БАВАРЕЦ,7,0,0
БАГАЖ,5,12,1
БАГАЖНИК,8,10,1
БАГЕТ,5,1,1
БАГОР,5,2,1
БАГУЛЬНИК,9,1,1
БАДМИНТОН,9,1,1
БАДЬЯ,5,2,1
БАЗА,4,147,1
БАЗАЛЬТ,7,1,1
БАЗАР,5,23,1
БАЗАРЧИК,8,1,1
БАЗИЛИК,7,1,1
