f_WORD,f_LENG,f_FREQ,f_FLAG
abound,6,18,1
abounded,8,3,1
abounding,9,4,1
abounds,7,10,1
about,5,0,0
above,5,0,0
aboveboard,10,14,1
abracadabra,11,53,1
abrade,6,1,1
abraded,7,5,1
abrades,7,0,0
abrading,8,0,0
abrasion,8,18,1
abrasions,9,56,1
abrasive,8,23,1
abrasively,10,0,0
abrasiveness,12,2,1
abrasives,9,4,1
abreast,7,26,1
abridge,7,1,1
abridged,8,9,1
abridgement,11,1,1
abridgements,12,0,0
abridges,8,0,0
abridging,9,2,1
abridgment,10,0,0
abridgments,11,0,0
abroad,6,250,1
abrogate,8,1,1
abrogated,9,2,1
abrogates,9,0,0
abrogating,10,1,1
abrogation,10,0,0
abrupt,6,58,1
abruptly,8,0,0
abruptness,10,4,1
abs,3,54,1
abscess,7,25,1
abscesses,9,7,1
abscond,7,5,1
absconded,9,5,1
absconding,10,3,1
absconds,8,0,0
abseil,6,0,0
abseiled,8,0,0
abseiling,9,1,1
abseils,7,0,0
absence,7,322,1
absences,8,14,1
absent,6,131,1
absented,8,0,0
absentee,8,18,1
absenteeism,11,5,1
absentees,9,4,1
absenting,9,2,1
absently,8,0,0
absentminded,12,3,1
absentmindedly,14,0,0
absentmindedness,16,1,1
absents,7,0,0
absinth,7,0,0
absinthe,8,28,1
absolute,8,577,1
absolutely,10,0,0
absolutes,9,21,1
absolution,10,48,1
absolutism,10,0,0
absolve,7,29,1
absolved,8,15,1
absolves,8,4,1
absolving,9,5,1
absorb,6,101,1
absorbed,8,78,1
absorbency,10,0,0
absorbent,9,8,1
absorbing,9,23,1
absorbs,7,25,1
absorption,10,18,1
abstain,7,26,1
abstained,9,4,1
abstainer,9,0,0
abstainers,10,1,1
abstaining,10,8,1
abstains,8,2,1
abstemious,10,0,0
abstention,10,6,1
abstentions,11,1,1
abstinence,10,45,1
abstinent,9,3,1
abstract,8,111,1
abstracted,10,3,1
abstractedly,12,0,0
abstracting,11,1,1
abstraction,11,15,1
abstractions,12,5,1
abstractly,10,0,0
abstracts,9,7,1
abstruse,8,3,1
absurd,6,495,1
absurdities,11,6,1
absurdity,9,32,1
absurdly,8,0,0
abundance,9,45,1
abundant,8,29,1
abundantly,10,0,0
abuse,5,523,1
abused,6,231,1
abuser,6,16,1
abusers,7,11,1
abuses,6,25,1
abusing,7,61,1
abusive,7,83,1
abusively,9,0,0
abut,4,6,1
abutment,8,6,1
abutments,9,1,1
abuts,5,2,1
abutted,7,0,0
abutting,8,1,1
abuzz,5,2,1
abysmal,7,21,1
abysmally,9,0,0
abyss,5,90,1
abysses,7,2,1
acacia,6,8,1
acacias,7,0,0
academe,7,2,1
academia,8,12,1
academic,8,238,1
academically,12,0,0
academician,11,1,1
academicians,12,0,0
academics,9,35,1
academies,9,7,1
academy,7,633,1
accede,6,7,1
acceded,7,1,1
accedes,7,0,0
acceding,8,0,0
accelerate,10,65,1
accelerated,11,49,1
accelerates,11,5,1
accelerating,12,45,1
acceleration,12,44,1
accelerator,11,69,1
accelerators,12,4,1
accent,6,621,1
accented,8,1,1
accenting,9,0,0
accents,7,58,1
accentuate,10,18,1
accentuated,11,2,1
accentuates,11,4,1
accentuating,12,1,1
accentuation,12,0,0
accept,6,2692,1
acceptability,13,0,0
acceptable,10,269,1
acceptably,10,0,0
acceptance,10,161,1
acceptances,11,2,1
accepted,8,801,1
accepting,9,206,1
accepts,7,106,1
access,6,1615,1
accessed,8,78,1
accesses,8,2,1
accessibility,13,2,1
accessible,10,56,1
accessibly,10,0,0
accessing,9,53,1
accession,9,6,1
accessions,10,0,0
accessories,11,76,1
accessorise,11,1,1
accessorised,12,0,0
accessorises,12,0,0
accessorising,13,0,0
accessorize,11,18,1
accessorized,12,2,1
accessorizes,12,0,0
accessorizing,13,6,1
accessory,9,147,1
accident,8,4146,1
accidental,10,153,1
accidentally,12,0,0
accidents,9,340,1
acclaim,7,22,1
acclaimed,9,20,1
acclaiming,10,0,0
acclaims,8,2,1
acclamation,11,1,1
acclamations,12,0,0
acclimate,9,8,1
acclimated,10,10,1
acclimates,10,1,1
acclimating,11,3,1
acclimation,11,0,0
acclimatisation,15,0,0
acclimatise,11,0,0
acclimatised,12,0,0
acclimatises,12,0,0
acclimatising,13,0,0
acclimatization,15,1,1
acclimatize,11,1,1
acclimatized,12,2,1
acclimatizes,12,0,0
acclimatizing,13,0,0
accolade,8,1,1
accolades,9,9,1
accommodate,11,109,1
accommodated,12,5,1
accommodates,12,3,1
accommodating,13,36,1
accommodation,13,48,1
accommodations,14,85,1
accompanied,11,105,1
accompanies,11,13,1
accompaniment,13,15,1
accompaniments,14,0,0
accompanist,11,10,1
accompanists,12,1,1
accompany,9,242,1
accompanying,12,47,1
accomplice,10,216,1
accomplices,11,58,1
accomplish,10,298,1
accomplished,12,384,1
accomplishes,12,7,1
accomplishing,13,26,1
accomplishment,14,96,1
accomplishments,15,81,1
accord,6,83,1
accordance,10,0,0
accorded,8,7,1
according,9,0,0
accordingly,11,0,0
accordion,9,67,1
accordions,10,3,1
accords,7,9,1
accost,6,3,1
accosted,8,34,1
accosting,9,4,1
accosts,7,1,1
account,7,2280,1
accountability,14,24,1
accountable,11,72,1
accountancy,11,3,1
accountant,10,315,1
accountants,11,55,1
accounted,9,154,1
accounting,10,230,1
accounts,8,534,1
accouterments,13,0,0
accoutrements,13,6,1
accredit,8,0,0
accreditation,13,9,1
accredited,10,16,1
accrediting,11,1,1
accredits,9,0,0
accretion,9,0,0
accretions,10,0,0
accrual,7,2,1
accruals,8,0,0
accrue,6,4,1
accrued,7,13,1
accrues,7,1,1
accruing,8,2,1
acculturate,11,0,0
acculturated,12,0,0
acculturates,12,0,0
acculturating,13,0,0
acculturation,13,0,0
accumulate,10,29,1
accumulated,11,39,1
accumulates,11,11,1
accumulating,12,18,1
accumulation,12,13,1
accumulations,13,1,1
accumulative,12,3,1
accumulator,11,1,1
accumulators,12,0,0
accuracy,8,76,1
accurate,8,400,1
accurately,10,0,0
accursed,8,33,1
accusation,10,143,1
accusations,11,153,1
accusative,10,0,0
accusatives,11,0,0
accusatory,10,3,1
accuse,6,290,1
accused,7,666,1
accuser,7,15,1
accusers,8,8,1
accuses,7,31,1
accusing,8,252,1
accusingly,10,0,0
accustom,8,6,1
accustomed,10,149,1
accustoming,11,0,0
accustoms,9,0,0
ace,3,751,1
aced,4,39,1
acerbic,7,4,1
acerbically,11,0,0
acerbity,8,0,0
aces,4,202,1
acetaminophen,13,5,1
acetaminophens,14,0,0
acetate,7,6,1
acetates,8,1,1
acetone,7,8,1
acetylene,9,23,1
ache,4,127,1
ached,5,16,1
aches,5,77,1
achier,6,0,0
achiest,7,0,0
achievable,10,2,1
achieve,7,374,1
achieved,8,219,1
achievement,11,178,1
achievements,12,55,1
achiever,8,12,1
achievers,9,9,1
achieves,8,16,1
achieving,9,37,1
aching,6,105,1
achingly,8,0,0
achoo,5,5,1
achy,4,23,1
acid,4,508,1
acidic,6,11,1
acidified,9,0,0
acidifies,9,0,0
acidify,7,0,0
acidifying,10,0,0
acidity,7,10,1
acidly,6,0,0
acids,5,42,1
acing,5,4,1
acknowledge,11,313,1
acknowledged,12,100,1
acknowledgement,15,21,1
acknowledgements,16,4,1
acknowledges,12,13,1
acknowledging,13,36,1
acknowledgment,14,26,1
acknowledgments,15,1,1
acme,4,64,1
acmes,5,0,0
acne,4,46,1
acolyte,7,7,1
acolytes,8,6,1
acorn,5,37,1
acorns,6,19,1
acoustic,8,49,1
acoustical,10,6,1
acoustically,12,0,0
acoustics,9,22,1
acquaint,8,20,1
acquaintance,12,273,1
acquaintances,13,54,1
acquaintanceship,16,4,1
acquaintanceships,17,0,0
acquainted,10,231,1
acquainting,11,2,1
acquaints,9,0,0
acquiesce,9,3,1
acquiesced,10,5,1
acquiescence,12,5,1
acquiescent,11,1,1
acquiesces,10,0,0
acquiescing,11,2,1
acquire,7,135,1
acquired,8,228,1
acquires,8,8,1
acquiring,9,43,1
acquisition,11,74,1
acquisitions,12,33,1
acquisitive,11,3,1
acquisitiveness,15,1,1
acquit,6,24,1
acquits,7,0,0
acquittal,9,37,1
acquittals,10,1,1
acquitted,9,78,1
acquitting,10,6,1
acre,4,93,1
acreage,7,22,1
acreages,8,0,0
acres,5,234,1
acrid,5,2,1
acrimonious,11,7,1
acrimoniously,13,0,0
acrimony,8,11,1
acrobat,7,30,1
acrobatic,9,12,1
acrobatically,13,0,0
acrobatics,10,11,1
acrobats,8,19,1
acronym,7,15,1
acronyms,8,7,1
across,6,0,0
acrostic,8,0,0
acrostics,9,0,0
acrylic,7,23,1
acrylics,8,3,1
act,3,5565,1
acted,5,548,1
acting,6,2675,1
action,6,3115,1
actionable,10,13,1
actioned,8,0,0
actioning,9,0,0
actions,7,620,1
activate,8,238,1
activated,9,220,1
activates,9,16,1
activating,10,44,1
activation,10,43,1
active,6,584,1
actively,8,0,0
activism,8,9,1
activist,8,50,1
activists,9,18,1
activities,10,439,1
activity,8,657,1
actor,5,1343,1
actors,6,644,1
actress,7,817,1
actresses,9,115,1
acts,4,636,1
actual,6,884,1
actualities,11,1,1
actuality,9,24,1
actually,8,0,0
actuarial,9,9,1
actuaries,9,1,1
actuary,7,7,1
actuate,7,1,1
actuated,8,3,1
actuates,8,0,0
actuating,9,1,1
acuity,6,14,1
acumen,6,7,1
acupressure,11,6,1
acupuncture,11,37,1
acupuncturist,13,9,1
acupuncturists,14,2,1
acute,5,150,1
acutely,7,0,0
acuteness,9,1,1
acutes,6,0,0
adage,5,32,1
adages,6,1,1
adagio,6,12,1
adagios,7,0,0
adamant,7,50,1
adamantly,9,0,0
adapt,5,134,1
adaptability,12,7,1
adaptable,9,17,1
adaptation,10,81,1
adaptations,11,3,1
adapted,7,56,1
adapter,7,11,1
adapters,8,0,0
adapting,8,27,1
adaption,8,1,1
adaptions,9,0,0
adaptive,8,11,1
adaptor,7,4,1
adaptors,8,1,1
adapts,6,3,1
add,3,1686,1
added,5,492,1
addenda,7,2,1
addendum,8,15,1
addendums,9,4,1
adder,5,73,1
adders,6,2,1
addict,6,273,1
addicted,8,231,1
addiction,9,199,1
addictions,10,21,1
addictive,9,57,1
addicts,7,106,1
adding,6,205,1
addition,8,0,0
additional,10,300,1
additionally,12,0,0
additions,9,11,1
additive,8,11,1
additives,9,10,1
addle,5,8,1
addled,6,11,1
addles,6,0,0
addling,7,1,1
address,7,2666,1
addressed,9,194,1
addressee,9,6,1
addressees,10,0,0
addresses,9,162,1
addressing,10,107,1
adds,4,201,1
adduce,6,1,1
adduced,7,1,1
adduces,7,0,0
adducing,8,0,0
adenoidal,9,1,1
adenoids,8,11,1
adept,5,33,1
adeptly,7,0,0
adepts,6,2,1
adequacy,8,1,1
adequate,8,132,1
adequately,10,0,0
adhere,6,29,1
adhered,7,6,1
adherence,9,9,1
adherent,8,3,1
adherents,9,1,1
adheres,7,3,1
adhering,8,9,1
adhesion,8,6,1
adhesive,8,47,1
adhesives,9,1,1
adieu,5,0,0
adieus,6,1,1
adieux,6,0,0
adios,5,159,1
adipose,7,4,1
adjacent,8,68,1
adjectival,10,0,0
adjectivally,12,0,0
adjective,9,25,1
adjectives,10,25,1
adjoin,6,0,0
adjoined,8,1,1
adjoining,9,57,1
adjoins,7,5,1
adjourn,7,66,1
adjourned,9,250,1
adjourning,10,2,1
adjournment,11,11,1
adjournments,12,0,0
adjourns,8,2,1
adjudge,7,1,1
adjudged,8,3,1
adjudges,8,0,0
adjudging,9,0,0
adjudicate,10,5,1
adjudicated,11,6,1
adjudicates,11,0,0
adjudicating,12,1,1
adjudication,12,9,1
adjudications,13,0,0
adjudicator,11,4,1
adjudicators,12,0,0
adjunct,7,7,1
adjuncts,8,0,0
adjure,6,1,1
adjured,7,0,0
adjures,7,0,0
adjuring,8,0,0
adjust,6,287,1
adjustable,10,16,1
adjusted,8,92,1
adjuster,8,20,1
adjusters,9,7,1
adjusting,9,121,1
adjustment,10,158,1
adjustments,11,71,1
adjusts,7,9,1
adjutant,8,45,1
adjutants,9,1,1
adman,5,0,0
admen,5,0,0
admin,5,22,1
administer,10,85,1
administered,12,76,1
administering,13,24,1
administers,11,6,1
administration,14,387,1
administrations,15,16,1
administrative,14,82,1
administratively,16,0,0
administrator,13,84,1
administrators,14,18,1
admirable,9,133,1
admirably,9,0,0
admiral,7,845,1
admirals,8,29,1
admiration,10,107,1
admire,6,722,1
admired,7,187,1
admirer,7,151,1
admirers,8,49,1
admires,7,26,1
admiring,8,141,1
admiringly,10,0,0
admissibility,13,4,1
admissible,10,37,1
admission,9,181,1
admissions,10,111,1
admit,5,3019,1
admits,6,105,1
admittance,10,34,1
admitted,8,467,1
admittedly,10,0,0
admitting,9,157,1
admixture,9,1,1
admixtures,10,0,0
admonish,8,4,1
admonished,10,4,1
admonishes,10,0,0
admonishing,11,2,1
admonishment,12,0,0
admonishments,13,1,1
admonition,10,5,1
admonitions,11,1,1
admonitory,10,0,0
ado,3,77,1
adobe,5,24,1
adolescence,11,44,1
adolescent,10,94,1
adolescents,11,29,1
adopt,5,238,1
adopted,7,430,1
adopter,7,1,1
adopters,8,0,0
adopting,8,60,1
adoption,8,239,1
adoptions,9,7,1
adoptive,8,30,1
adopts,6,11,1
adorable,8,537,1
adorably,8,0,0
adoration,9,30,1
adore,5,394,1
adored,6,125,1
adores,6,91,1
adoring,7,35,1
adoringly,9,0,0
adorn,5,8,1
adorned,7,8,1
adorning,8,2,1
adornment,9,4,1
adornments,10,2,1
adorns,6,3,1
adrenalin,9,28,1
adrenaline,10,168,1
adrift,6,51,1
adroit,6,6,1
adroitly,8,0,0
adroitness,10,1,1
ads,3,258,1
adulation,9,14,1
adulatory,9,0,0
adult,5,729,1
adulterate,10,1,1
adulterated,11,1,1
adulterates,11,0,0
adulterating,12,1,1
adulteration,12,0,0
adulterer,9,20,1
adulterers,10,7,1
adulteress,10,13,1
adulteresses,12,0,0
adulterous,10,17,1
adultery,8,99,1
adulthood,9,37,1
adults,6,488,1
adumbrate,9,0,0
adumbrated,10,0,0
adumbrates,10,0,0
adumbrating,11,0,0
advance,7,815,1
advanced,8,451,1
advancement,11,63,1
advancements,12,8,1
advances,8,148,1
advancing,9,76,1
advantage,9,1125,1
advantaged,10,2,1
advantageous,12,20,1
advantageously,14,0,0
advantages,10,144,1
advantaging,11,0,0
advent,6,24,1
adventitious,12,0,0
advents,7,0,0
adventure,9,685,1
adventurer,10,37,1
adventurers,11,11,1
adventures,10,184,1
adventuresome,13,3,1
adventurism,11,0,0
adventurist,11,1,1
adventurists,12,0,0
adventurous,11,62,1
adventurously,13,0,0
adverb,6,10,1
adverbial,9,3,1
adverbs,7,5,1
adversarial,11,12,1
adversaries,11,31,1
adversary,9,77,1
adverse,7,36,1
adversely,9,0,0
adversities,11,3,1
adversity,9,54,1
advert,6,13,1
advertise,9,84,1
advertised,10,52,1
advertisement,13,61,1
advertisements,14,25,1
advertiser,10,8,1
advertisers,11,24,1
advertises,10,7,1
advertising,11,379,1
advertorial,11,0,0
advertorials,12,0,0
adverts,7,4,1
advice,6,2447,1
advisability,12,0,0
advisable,9,40,1
advise,6,622,1
advised,7,267,1
advisedly,9,0,0
advisement,10,39,1
adviser,7,53,1
advisers,8,13,1
advises,7,24,1
advising,8,68,1
advisor,7,225,1
advisories,10,2,1
advisors,8,66,1
advisory,8,51,1
advocacy,8,15,1
advocate,8,113,1
advocated,9,18,1
advocates,9,17,1
advocating,10,17,1
adze,4,0,0
adzes,5,0,0
aegis,5,5,1
aeon,4,25,1
aeons,5,1,1
aerate,6,1,1
aerated,7,0,0
aerates,7,0,0
aerating,8,1,1
aeration,8,1,1
aerial,6,129,1
aerials,7,9,1
aerie,5,1,1
aeries,6,1,1
aerobatic,9,0,0
aerobatics,10,1,1
aerobic,7,9,1
aerobics,8,79,1
aerodrome,9,0,0
aerodromes,10,1,1
aerodynamic,11,22,1
aerodynamically,15,0,0
aerodynamics,12,16,1
aerogram,8,0,0
aerogramme,10,0,0
aerogrammes,11,0,0
aerograms,9,0,0
aeronautic,10,0,0
aeronautical,12,12,1
aeronautics,11,9,1
aeroplane,9,71,1
aeroplanes,10,9,1
aerosol,7,14,1
aerosols,8,1,1
aerospace,9,55,1
aesthete,8,6,1
aesthetes,9,1,1
aesthetic,9,34,1
aesthetically,13,0,0
aesthetics,10,15,1
aetiologies,11,0,0
aetiology,9,0,0
afar,4,59,1
affability,10,4,1
affable,7,6,1
affably,7,0,0
affair,6,1502,1
affairs,7,747,1
affect,6,568,1
affectation,11,7,1
affectations,12,2,1
affected,8,345,1
affectedly,10,0,0
affecting,9,130,1
affection,9,431,1
affectionate,12,115,1
affectionately,14,0,0
affections,10,61,1
affective,9,4,1
affects,7,244,1
affidavit,9,100,1
affidavits,10,31,1
affiliate,9,15,1
affiliated,10,40,1
affiliates,10,17,1
affiliating,11,0,0
affiliation,11,25,1
affiliations,12,14,1
affinities,10,0,0
affinity,8,29,1
affirm,6,17,1
affirmation,11,27,1
affirmations,12,10,1
affirmative,11,241,1
affirmatively,13,0,0
affirmatives,12,0,0
affirmed,8,7,1
affirming,9,3,1
affirms,7,2,1
affix,5,6,1
affixed,7,1,1
affixes,7,0,0
affixing,8,0,0
afflict,7,4,1
afflicted,9,65,1
afflicting,10,6,1
affliction,10,60,1
afflictions,11,8,1
afflicts,8,3,1
affluence,9,7,1
affluent,8,15,1
afford,6,2266,1
affordability,13,1,1
affordable,10,33,1
afforded,8,27,1
affording,9,8,1
affords,7,14,1
afforestation,13,0,0
affray,6,0,0
affrays,7,0,0
affricate,9,0,0
affricates,10,0,0
affront,7,30,1
affronted,9,2,1
affronting,10,0,0
affronts,8,0,0
afghan,6,29,1
afghans,7,10,1
aficionado,10,11,1
aficionados,11,5,1
afield,6,6,1
afire,5,25,1
aflame,6,17,1
afloat,6,85,1
aflutter,8,4,1
afoot,5,52,1
aforementioned,14,24,1
aforesaid,9,4,1
aforethought,12,3,1
afoul,5,11,1
afraid,6,12631,1
afresh,6,13,1
aft,3,180,1
after,5,0,0
afterbirth,10,5,1
aftercare,9,5,1
aftereffect,11,3,1
aftereffects,12,7,1
afterglow,9,16,1
afterglows,10,0,0
afterlife,9,81,1
afterlives,10,0,0
aftermarket,11,2,1
aftermath,9,53,1
aftermaths,10,1,1
afternoon,9,4666,1
afternoons,10,101,1
afters,6,3,1
aftershave,10,55,1
aftershaves,11,1,1
aftershock,10,12,1
aftershocks,11,1,1
aftertaste,10,11,1
aftertastes,11,0,0
afterthought,12,13,1
afterthoughts,13,2,1
afterward,9,112,1
afterwards,10,714,1
afterword,9,0,0
afterwords,10,2,1
again,5,40428,1
against,7,0,0
agape,5,0,0
agar,4,1,1
agate,5,2,1
agates,6,1,1
agave,5,2,1
agaves,6,0,0
age,3,4039,1
aged,4,183,1
agedness,8,0,0
ageing,6,17,1
ageism,6,12,1
ageist,6,4,1
ageists,7,0,0
ageless,7,15,1
agelessness,11,0,0
agencies,8,164,1
agency,6,991,1
agenda,6,373,1
agendas,7,21,1
agent,5,5235,1
agents,6,1074,1
ages,4,567,1
agglomeration,13,0,0
agglomerations,14,0,0
aggrandisement,14,0,0
aggrandizement,14,1,1
aggravate,9,37,1
aggravated,10,64,1
aggravates,10,9,1
aggravating,11,24,1
aggravation,11,59,1
aggravations,12,0,0
aggregate,9,10,1
aggregated,10,0,0
aggregates,10,0,0
aggregating,11,2,1
aggregation,11,2,1
aggregations,12,0,0
aggression,10,143,1
aggressive,10,405,1
aggressively,12,0,0
aggressiveness,14,20,1
aggressor,9,29,1
aggressors,10,15,1
aggrieved,9,10,1
aggro,5,1,1
aghast,6,7,1
agile,5,20,1
agility,7,23,1
aging,5,131,1
agitate,7,22,1
agitated,8,128,1
agitates,8,6,1
agitating,9,7,1
agitation,9,25,1
agitator,8,11,1
agitators,9,13,1
agitprop,8,1,1
aglow,5,24,1
agnostic,8,19,1
agnosticism,11,0,0
agnostics,9,0,0
ago,3,14592,1
agog,4,6,1
agonies,7,12,1
agonise,7,0,0
agonised,8,4,1
agonises,8,0,0
agonising,9,7,1
agonisingly,11,0,0
agonize,7,5,1
agonized,8,12,1
agonizes,8,0,0
agonizing,9,36,1
agonizingly,11,0,0
agony,5,191,1
agoraphobia,11,7,1
agoraphobic,11,9,1
agoraphobics,12,1,1
agrarian,8,8,1
agree,5,3298,1
agreeable,9,81,1
agreeably,9,0,0
agreed,6,1832,1
agreeing,8,106,1
agreement,9,892,1
agreements,10,41,1
agrees,6,219,1
agribusiness,12,7,1
agribusinesses,14,0,0
agricultural,12,48,1
agriculturalist,15,2,1
agriculturalists,16,0,0
agriculture,11,56,1
agritourism,11,0,0
agrochemical,12,0,0
agrochemicals,13,0,0
agronomist,10,0,0
agronomists,11,0,0
agronomy,8,0,0
aground,7,25,1
ague,4,2,1
aha,3,0,0
ahead,5,10115,1
ahem,4,0,0
ahold,5,307,1
ahoy,4,189,1
aid,3,709,1
aide,4,103,1
aided,5,33,1
aides,5,32,1
aiding,6,54,1
aids,4,54,1
ail,3,11,1
ailed,5,2,1
aileron,7,1,1
ailerons,8,4,1
ailing,6,26,1
ailment,7,26,1
ailments,8,31,1
ails,4,39,1
aim,3,758,1
aimed,5,99,1
aiming,6,193,1
aimless,7,14,1
aimlessly,9,0,0
aimlessness,11,0,0
aims,4,60,1
aioli,5,1,1
air,3,7090,1
airbag,6,20,1
airbags,7,8,1
airbase,7,5,1
airbases,8,0,0
airbed,6,0,0
airbeds,7,0,0
airborne,8,215,1
airbrush,8,9,1
airbrushed,10,8,1
airbrushes,10,0,0
airbrushing,11,2,1
airbus,6,0,0
airbuses,8,0,0
aircraft,8,482,1
aircrew,7,3,1
aircrews,8,0,0
airdrome,8,2,1
airdromes,9,1,1
airdrop,7,2,1
airdropped,10,0,0
airdropping,11,0,0
airdrops,8,0,0
aired,5,45,1
airfare,7,12,1
airfares,8,2,1
airfield,8,118,1
airfields,9,7,1
airflow,7,7,1
airgun,6,0,0
airguns,7,0,0
airhead,7,27,1
airheads,8,6,1
airier,6,0,0
airiest,7,0,0
airily,6,0,0
airiness,8,1,1
airing,6,32,1
airings,7,1,1
airless,7,5,1
airlift,7,14,1
airlifted,9,10,1
airlifting,10,5,1
airlifts,8,1,1
airline,7,331,1
airliner,8,29,1
airliners,9,7,1
airlines,8,191,1
airlock,7,42,1
airlocks,8,1,1
airmail,7,17,1
airmailed,9,0,0
airmailing,10,0,0
airmails,8,0,0
airman,6,30,1
airmen,6,34,1
airplane,8,557,1
airplanes,9,164,1
airplay,7,11,1
airport,7,1940,1
airports,8,70,1
airpower,8,0,0
airs,4,39,1
airship,7,30,1
airships,8,4,1
airshow,7,0,0
airshows,8,0,0
airsick,7,16,1
airsickness,11,2,1
airspace,8,82,1
airspeed,8,24,1
airspeeds,9,0,0
airstream,9,8,1
airstrike,9,7,1
airstrikes,10,2,1
airstrip,8,57,1
airstrips,9,3,1
airtight,8,57,1
airtime,7,13,1
airwaves,8,27,1
airway,6,83,1
airways,7,45,1
airwoman,8,0,0
airwomen,8,0,0
airworthiness,13,0,0
airworthy,9,1,1
airy,4,16,1
aisle,5,379,1
aisles,6,37,1
aitch,5,0,0
aitches,7,0,0
ajar,4,23,1
akimbo,6,4,1
akin,4,14,1
alabaster,9,34,1
alacrity,8,5,1
alamode,7,0,0
alarm,5,1522,1
alarmed,7,151,1
alarming,8,58,1
alarmingly,10,0,0
alarmist,8,17,1
alarmists,9,0,0
alarms,6,157,1
alas,4,0,0
albatross,9,40,1
albatrosses,11,2,1
albeit,6,0,0
albino,6,59,1
albinos,7,4,1
album,5,522,1
albumen,7,0,0
albumin,7,4,1
albums,6,119,1
alchemist,9,14,1
alchemists,10,6,1
alchemy,7,11,1
alcohol,7,845,1
alcoholic,9,316,1
alcoholics,10,54,1
alcoholism,10,43,1
alcohols,8,0,0
alcopop,7,0,0
alcopops,8,0,0
alcove,6,24,1
alcoves,7,2,1
alder,5,5,1
alderman,8,41,1
aldermen,8,1,1
alders,6,3,1
ale,3,202,1
alehouse,8,1,1
alehouses,9,0,0
alert,5,1051,1
alerted,7,91,1
alerting,8,18,1
alertly,7,0,0
alertness,9,4,1
alerts,6,14,1
ales,4,5,1
alfalfa,7,33,1
alfresco,8,7,1
alga,4,0,0
algae,5,22,1
algal,5,0,0
algebra,7,90,1
algebraic,9,3,1
algorithm,9,27,1
algorithms,10,12,1
alias,5,208,1
aliases,7,43,1
alibi,5,426,1
alibis,6,58,1
alien,5,889,1
alienable,9,0,0
alienate,8,29,1
alienated,9,41,1
alienates,9,0,0
alienating,10,26,1
alienation,10,22,1
aliens,6,491,1
alight,6,21,1
alighted,8,2,1
alighting,9,2,1
alights,7,0,0
align,5,34,1
aligned,7,40,1
aligning,8,6,1
alignment,9,67,1
alignments,10,1,1
aligns,6,5,1
alike,5,579,1
alimony,7,132,1
alit,4,2,1
alive,5,7878,1
alkali,6,18,1
